Title,URL,Root Cause of Flakiness,Root Cause Category,Tests/Code Affected (to Reproduce),Testing Environment/Runner,Manifestation Category,How Fixed in Code,Fix Category,Link to Pull Request (if needed),,,,,,,,
Fix failing tests on IE11 and add flag for flakey tests (#2220)\n\n* fix renderer tests by using sinon global\r\n\r\n* temp test IE11 (remove this when verified)\r\n\r\n* add polyfills\r\n\r\n* conditionally skip some tests in IE11\r\n\r\n* refactor to skipped tests instead\r\n\r\n* correct typo\r\n\r\n* use DISABLE_FLAKEY\r\n\r\n* disable saucelabs again\r\n\r\n* rearrange browsers to see if this affects coverage or if cov takes lowest amount\r\n\r\n* assert correctly\r\n\r\n* use xit instead of it.skip\r\n\r\n* arrange correctly\r\n\r\n* try getting FLAKY from process.env\r\n\r\n* add flakey logging\r\n\r\n* revert some changes\r\n\r\n* add flakey to travis script\r\n\r\n* add one more flakey test\r\n\r\n* try some logging to see if we can derive the browser we're in\r\n\r\n* revert sauceLabs = true\r\n\r\nCo-authored-by: Marvin Hagemeister <marvin@marvinhagemeister.de>,https://github.com/preactjs/preact/commit/6fcf76b1da6bb28705a9d1513be550063ce09d50,Flaky rendering in CI,Resource Rendering,https://github.com/preactjs/preact/blob/6fcf76b1da6bb28705a9d1513be550063ce09d50/debug/test/browser/devtools/renderer.test.js,"Travis, Karma",Run on Specific Platform,Added flaky tags to tests,Mark Test as Flaky,https://github.com/preactjs/preact/pull/2220,,,,,,,,
fix flakey test in firefox,https://github.com/preactjs/preact/commit/f71089747102e50b2dc3bbdeefcabee1432ce9a9,Ordering differences in attributes in different browsers,Unordered Collections,https://github.com/preactjs/preact/blob/f71089747102e50b2dc3bbdeefcabee1432ce9a9/test/browser/render.js,"Travis, Karma",Unspecified,Added sorting to attribute list before testing list,Refactor Logic Implementation,,,,,,,,,
Fix flakey test relying on attribute ordering in `innerHTML` serialization (Firefox 45 I'm looking at you),https://github.com/preactjs/preact/commit/ba48cd3741bb1266dab6418db19783aa151c182b,Ordering differences in attributes in different browsers,Unordered Collections,https://github.com/preactjs/preact/blob/ba48cd3741bb1266dab6418db19783aa151c182b/test/browser/components.js,"Travis, Karma",Run on Specific Platform,Added sorting to attribute list before testing list,Refactor Logic Implementation,,,,,,,,,
Fix two flakey tests,https://github.com/preactjs/preact/commit/0efa8e8bffd8d72b38618d6e00c3058cf129cce0,Ordering differences in attributes in different browsers,Unordered Collections,https://github.com/preactjs/preact/blob/0efa8e8bffd8d72b38618d6e00c3058cf129cce0/test/browser/components.js,"Travis, Karma",Unspecified,Added sorting to attribute list before testing list,Refactor Logic Implementation,,,,,,,,,
Fix flakey test logic,https://github.com/preactjs/preact/commit/945afe30c537abce36482821ed12e2df5fd98560,Flaky lifecycle methods in CI,Resource Rendering,https://github.com/preactjs/preact/blob/945afe30c537abce36482821ed12e2df5fd98560/test/browser/lifecycle.js,"Travis, Karma",Unspecified,Added flaky tags to tests,Mark Test as Flaky,,,,,,,,,
Add flakey test bypass for travis,https://github.com/preactjs/preact/commit/76b7c9a1d84682a9975dfac11bebb510e307f7d3,Flaky lifecycle methods in CI,Resource Rendering,https://github.com/preactjs/preact/blob/76b7c9a1d84682a9975dfac11bebb510e307f7d3/test/browser/lifecycle.js,"Travis, Karma",Run in CI,"Added FLAKEY flag to travis, flaky tags to tests",Mark Test as Flaky,,,,,,,,,
fix(specs): Fix intermittent async error and max event listener leak\n\nAn absolute ContactStore spec was causing the listener leak by\nre-initializing the store and not cleaning it up.\n\nIntermittent theme manager failing spec might be caused due to timing of\nthe theme activation,https://github.com/nylas/nylas-mail/commit/b0b0c14d037c38ac0d74079b8a544d9c9d0e9b6c,timing of the theme activation,Resource Rendering,https://github.com/nylas/nylas-mail/blob/b0b0c14d037c38ac0d74079b8a544d9c9d0e9b6c/spec/theme-manager-spec.coffee,,Unspecified,added then to the active function,Fix Await Mechanism,,,,,,,,,
"fix(config): Apply config change from Atom, process locking\n\nSummary:\nhttps://github.com/atom/atom/commit/d1c44dcb54994eb733eff0bfde69c8454aeff22c\n\nAlso lock config across processes to prevent the user from being logged out when the main process reads config before it's finished writing. This is what is causing the login window to appear.\n\nTest Plan: Rapidly tap between the two display modes. Note that it no longer reverts to the wrong one intermittently.\n\nReviewers: evan\n\nReviewed By: evan\n\nDifferential Revision: https://phab.nylas.com/D1931",https://github.com/nylas/nylas-mail/commit/6c407f2f1c2f72d1b4ccd5c1697485fb320ff82a,the main process reads config before it's finished writing.,Test Order Dependency,https://github.com/nylas/nylas-mail/blob/6c407f2f1c2f72d1b4ccd5c1697485fb320ff82a/spec/config-spec.coffee,,Provide Steps,Added lock,Fix Await Mechanism,,,,,,,,,
Making a flaky test less flaky,https://github.com/mobxjs/mobx/commit/8d63071ad2a7bba7f74aefccc57513ba7ed6f079,Waiting time varies,Resource Rendering,https://github.com/mobxjs/mobx/blob/8d63071ad2a7bba7f74aefccc57513ba7ed6f079/test/base/reaction.js,CircleCi,Unspecified,Changed the timeout/ delay duration,Add/Increase Delay,,,,,,,,,
Fixed flaky strict mode test,https://github.com/mobxjs/mobx/commit/03a087452ad7d6c1b5e2b13239bba5d95a0d7768,reset issue,Test Order Dependency,https://github.com/mobxjs/mobx/blob/03a087452ad7d6c1b5e2b13239bba5d95a0d7768/test/extras.js,CircleCi,Unspecified,Added resetGlobalState,Refactor Logic Implementation,,,,,,,,,
[Tests] comment out flaky `useEffect` test,https://github.com/enzymejs/enzyme/commit/b8289d02355882c57bf334ce001307807a674661,Perhaps unmount of useEffect is async,Resource Rendering,https://github.com/enzymejs/enzyme/blob/b8289d02355882c57bf334ce001307807a674661/packages/enzyme-test-suite/test/shared/hooks/useEffect.jsx,Sinon,Unspecified,Comment out,Remove Test,,,,,,,,,
Zs flakeyexplorertest16587 (#16676)\n\n* fix(test): flaky explorerer test round 1\r\n\r\n* fix(test): flaky explorerer test round 1\r\n\r\n* fix(test): flaky explorerer test round 1\r\n\r\n* fix(test): flaky explorerer test round 1,https://github.com/influxdata/influxdb/commit/e0165303ed2d62d751222940dcde431b41895ca9,Should be visible,Incorrect Test Runner Interaction,https://github.com/influxdata/influxdb/blob/e0165303ed2d62d751222940dcde431b41895ca9/ui/cypress/e2e/explorer.test.ts,Cypress,Unspecified,Added be.visable requirement,Refactor Logic Implementation,https://github.com/influxdata/influxdb/pull/16676,,,,,,,,
Merge pull request #16589 from influxdata/zs-flakeyonboardinge2e16446\n\nfix(test): Fixing flakey e2e onboarding test in cypress,https://github.com/influxdata/influxdb/commit/5d4248e06517791510a515bf805570cb5e49785b,Maybe waiting time not enough,Resource Rendering,https://github.com/influxdata/influxdb/blob/5d4248e06517791510a515bf805570cb5e49785b/ui/cypress/e2e/onboarding.test.ts,Cypress,Rerun Multiple Times,Added wait,Fix Await Mechanism,https://github.com/influxdata/influxdb/pull/16589,,,,,,,,
test: fix flaky explorer tests by targeting .CodeMirror and not force typing,https://github.com/influxdata/influxdb/commit/138caab0a2a9175763be47e6b37d8ddc53eb4ae4,DOM element targeting,Incorrect Test Runner Interaction,https://github.com/influxdata/influxdb/blob/138caab0a2a9175763be47e6b37d8ddc53eb4ae4/ui/cypress/e2e/explorer.test.ts,Cypress,Unspecified,targeting .CodeMirror and not force typing,Refactor Logic Implementation,https://github.com/influxdata/influxdb/pull/16392,,,,,,,,
fix(ui): fixed flakey tests (#16268)\n\nfix(ui): fixed flakey tests,https://github.com/influxdata/influxdb/commit/63b81291887f87e821ba6e8c250f1efaf920d57b,flush & signin would flake if called multiple times in the same test suite,Test Order Dependency,https://github.com/influxdata/influxdb/blob/63b81291887f87e821ba6e8c250f1efaf920d57b/ui/cypress/e2e/explorer.test.ts,Cypress,Selectively Run Test,consolidated the logic that needed to be retrieved from signing in into the first beforeEach call and removed the multiple usages of cy.flush and cy.signin since the test suite was logging in successfully and was flaking when we would flush the credentials and sign in again due to idiosyncrasies in the way the tests were running,Refactor Logic Implementation,https://github.com/influxdata/influxdb/pull/16268,,,,,,,,
"fix(ui): front end sorting for numeric values now being handled correctly (#16237)\n\nfix(ui): front end table sort now works for numbers, skipping test until flake is resolved",https://github.com/influxdata/influxdb/commit/bba04e20b44dd0f8fd049d80f270424eb266533f,Test logic depended on signin logic in other test,Test Order Dependency,https://github.com/influxdata/influxdb/blob/bba04e20b44dd0f8fd049d80f270424eb266533f/ui/cypress/e2e/explorer.test.ts,cypress,Selectively Run Test,skip it,Remove Test,https://github.com/influxdata/influxdb/pull/16237,,,,,,,,
fix(e2e): fix race conditions (#16173)\n\n* fix(e2e): flakey query builder test\r\n\r\n* test(e2e): run test 50 times\r\n\r\n* test(e2e): run update label test 50 times\r\n\r\n* fix(e2e): visit page after creation\r\n\r\n* chore(e2e): run test once\r\n\r\n* fix(e2e): run update label test once,https://github.com/influxdata/influxdb/commit/4f5ff962d69a84f7a6970b02f9e79b09dbad21fe,A race condition exists between saving the cell's updated name and re-opening the cell. Will replace this with a cy.wait(@updateCell) when Cypress supports waiting on window.fetch responses,Network Resource Loading,https://github.com/influxdata/influxdb/blob/4f5ff962d69a84f7a6970b02f9e79b09dbad21fe/ui/cypress/e2e/labels.test.ts; https://github.com/influxdata/influxdb/blob/4f5ff962d69a84f7a6970b02f9e79b09dbad21fe/ui/cypress/e2e/queryBuilder.test.ts,,Rerun Multiple Times,Added then,Fix Await Mechanism,https://github.com/influxdata/influxdb/pull/16173,,,,,,,,
fix(flakey-test): refactored getSortedBucketNames for more consistency and predictability. Finished DWP API functionality (#15802)\n\n* fix(flakey-test): refactored getSortedBucketNames for more consistency and predictability. Finished DWP API functionality\r\n\r\n* fix(FilterRow): removed unnecessary FeatureFlag from component\r\n\r\n* chore: updated yml and tests to reflect API changes,https://github.com/influxdata/influxdb/commit/5ba9142f2f3dfef7731e95a12b6cc93dac9c34b7,inconsistent behavior in the test,Unordered Collections,https://github.com/influxdata/influxdb/blob/5ba9142f2f3dfef7731e95a12b6cc93dac9c34b7/ui/src/buckets/selectors/index.test.ts,CircleCi,Run on Specific Platform,refactored getSortedBucketNames for more consistency and predictability. Finished DWP API functionality; Connected the datatypes.ComparisonNotEqual to the influxdb.NotEqual case in predicate/tag_rule,Refactor Logic Implementation,https://github.com/influxdata/influxdb/pull/15802,,,,,,,,
fix(ui): Fixing the sort by seconds\n\nFixing flakey test,https://github.com/influxdata/influxdb/commit/f37ea3bfb8684ebdfa066ddf4d1cc1663a1e64cc,Randomness of forever means this can not work with two forever buckets. So we delete the cookie bucket to remove this problem,Randomness,https://github.com/influxdata/influxdb/blob/f37ea3bfb8684ebdfa066ddf4d1cc1663a1e64cc/ui/cypress/e2e/buckets.test.ts,Cypress,Provide Steps,Remove one forever bucket,Use Workaround,https://github.com/influxdata/influxdb/issues/14923,,,,,,,,
test(ui): make tasks e2e test a little less flaky,https://github.com/influxdata/influxdb/commit/bd98a198925c4824c952787f86e924c879e286d5,Leftover state from previous tests,Test Order Dependency,https://github.com/influxdata/influxdb/blob/bd98a198925c4824c952787f86e924c879e286d5/ui/cypress/e2e/tasks.test.ts,Cypress,Selectively Run Test,Added then,Fix Await Mechanism,https://github.com/influxdata/influxdb/pull/15709,,,,,,,,
test(ui): rejigger the collector tests to be less flaky,https://github.com/influxdata/influxdb/commit/dc8904928fb0c7e126e50804507e77fcd5e5e0f0,No async,Incorrect Resource Load Order,https://github.com/influxdata/influxdb/blob/dc8904928fb0c7e126e50804507e77fcd5e5e0f0/ui/cypress/e2e/collectors.test.ts,Cypress,Unspecified,Added then,Fix Await Mechanism,https://github.com/influxdata/influxdb/pull/15709,,,,,,,,
test(ui): Fix flaky tasks and dashboard tests,https://github.com/influxdata/influxdb/commit/3b5d0a443e8c7302cfd5c31f1cefd1f16e950e6e,No async,Incorrect Resource Load Order,https://github.com/influxdata/influxdb/blob/3b5d0a443e8c7302cfd5c31f1cefd1f16e950e6e/ui/cypress/e2e/dashboardsIndex.test.ts,Cypress,Unspecified,Added then,Fix Await Mechanism,https://github.com/influxdata/influxdb/pull/15693,,,,,,,,
fix: Replace requestIdleCallback with requestAnimationFrame for a more consistent DOM write cycle. (#307)\n\n* fix: Replace requestIdleCallback with requestAnimationFrame for a more consistent DOM write cycle.\r\n\r\n* fix: Update export\r\n\r\n* chore: skip flaky test,https://github.com/nfl/react-helmet/commit/a2323add50c15bf6a1047b5d99753cce6db07fd6,React Dom Render,Resource Rendering,https://github.com/nfl/react-helmet/blob/a2323add50c15bf6a1047b5d99753cce6db07fd6/test/HelmetDeclarativeTest.js,Travis Ci,Run on Specific Platform,Skip it,Remove Test,https://github.com/nfl/react-helmet/pull/307,,,,,,,,
fix flaky tests\n\nfix settings test\n\nminor changes\n\nmake sure the created user is the first row of the list\n\nfix oauth2 tests\n\nminor changes\n\nfix oauth2 tests\n\nminor changes\n\nupdate utils import in entity spec\n\ntry to move to Jasmine because of timeouts with mocha+chai\n\nfix no i18n message\n\ncome back to mocha+chai\n\nminor change\n\ntry splitting actions more\n\nremove describe for user management\n\ntry to fix the failing test\n\nremove arg from navbarpage constructor\n\ntry to split more\n\ntry to fix timeout by splitting more\n\ntest react e2e in travis multiple times\n\nchange travis config\n\nsome changes\n\nfix user management loading\n\nrestore travis config\n\nmodify e2e tests according to new user registration process\n\nwait for modified date sort button to be clickable\n\nadd some async/await\n\nwait for deactivated button to be clickable\n\nremove unused functions with oauth2,https://github.com/jhipster/generator-jhipster/commit/5068452382f00ef2444858bc827630d1a1a7dc23,Proper waiting missing in click,Incorrect Resource Load Order,https://github.com/jhipster/generator-jhipster/blob/5068452382f00ef2444858bc827630d1a1a7dc23/generators/client/templates/react/src/test/javascript/e2e/modules/administration/administration.spec.ts.ejs,Azure Pipelines,Run on Specific Platform,Added async statements,Fix Await Mechanism,https://github.com/jhipster/generator-jhipster/issues/7694,,,,,,,,
test(vrt): reduce flakiness (#2728)\n\n* test(vrt): add jest retry\r\n\r\n* test(vrt): remove retry\r\n\r\n* test(vrt): remove waitFor\r\n\r\n* test(vrt): add targeted wait to dropdown\r\n\r\n* test(vrt): same same\r\n\r\n* test: add 1s timeout so interactions dont spill\r\n\r\n* test: try visible\r\n\r\n* fix: remove timeout\r\n\r\n* fix: add visible for datepicker too\r\n\r\n* fix: add more visibles :+1:\r\n\r\n* feat: try something crazy\r\n\r\n* refactor: clean up\r\n\r\n* refactor: try to snap timeouts and errors for debugging\r\n\r\n* test: add padding and only test phone-input\r\n\r\n* test: add datepicker too\r\n\r\n* test: restore full suite\r\n\r\n* test(vrt): update visual snapshots for af2d246 [skip ci] (#2777)\r\n\r\nCo-authored-by: UberOpenSourceBot <33560951+UberOpenSourceBot@users.noreply.github.com>,https://github.com/uber/baseweb/commit/086a8fdea491502e78d3cd822e256b6470204513,time wait; viewport resize; dropdown snapshots,Layout Difference,https://github.com/uber/baseweb/blob/086a8fdea491502e78d3cd822e256b6470204513/vrt/tests.vrt.js; https://github.com/uber/baseweb/blob/086a8fdea491502e78d3cd822e256b6470204513/vrt/config.js,jest-image-snapshot,Run on Specific Platform,manully set view port; added padding,Refactor Logic Implementation,https://github.com/uber/baseweb/pull/2728,,,,,,,,
Masonry: MasonryInfinite for infinite fetching (#307)\n\n* Masonry: MasonryInfinite for infinite fetching\r\n\r\n- Pulled fetching out from Masonry\r\n- MasornyInfinite is exported as the old Masonry\r\n and should function the same\r\n- export MasonryBeta as it can be used with custom\r\n fetching logic\r\n- This provides a graceful migration path.\r\n- Final migration will involve renaming\r\n MasonryBeta/MasonryInfinite/Masrony\r\n- Existing Masonry integration will be testing MasonryInfinite to ensure\r\n compatibility\r\n\r\n* Addressed comments\r\n\r\n* Refactored layout calculations into states\r\n\r\n* Immutable items check for isfetching\r\n\r\n* Update onmount code and tests\r\n\r\n- removed unused code\r\n- scrollFetchOnload test is updated to match\r\n existing values on master (TEST_FETCH_COUNTS === 1 when\r\n manualFetch = 1)\r\n- added timeout to fix flaky tets\r\n- added missing await\r\n\r\n* Addressed comments\r\n\r\n- renamed to onVirtualizationWindowUpdate\r\n- moved to helper function: layoutClass and statesForRendering\r\n\r\n* Changed to use onAutoMeasuring callback\r\n\r\n* Used ref callback,https://github.com/pinterest/gestalt/commit/f6c683b66b2d8b0ec87db283418459e87160a21f,time wait,Resource Rendering,https://github.com/pinterest/gestalt/blob/f6c683b66b2d8b0ec87db283418459e87160a21f/packages/gestalt/src/__integration__/loadMore.integration.js; https://github.com/pinterest/gestalt/blob/f6c683b66b2d8b0ec87db283418459e87160a21f/packages/gestalt/src/__integration__/nullItems.integration.js,Masonry,Unspecified,added timeout,Add/Increase Delay,https://github.com/pinterest/gestalt/pull/307,,,,,,,,
chore: use Base64 URI decoded avatar to avoid flaky UI tests if image loads slow,https://github.com/JetBrains/ring-ui/commit/f7bc28af06433ff22e898aacd2b3e8f0534defda,image load slow,Network Resource Loading,https://github.com/JetBrains/ring-ui/blob/f7bc28af06433ff22e898aacd2b3e8f0534defda/components/tag/tag.examples.js,Karma,Unspecified,change decoder to base64,Use Workaround,,,,,,,,,
"Fix flaky activation test\n\nMove mouse off of the button to see the ""Active"""" text.\n\nAlso",https://github.com/houndci/hound/commit/bc34c1cf6d796cca4488257dead74f8d640fd286,"mouse covered ""active"" text",Incorrect Test Runner Interaction,https://github.com/houndci/hound/blob/bc34c1cf6d796cca4488257dead74f8d640fd286/spec/features/user_activates_a_repo_spec.rb,CircleCi,Unspecified,move mouse off,Use Workaround,https://github.com/houndci/hound/pull/1503,,,,,,,,
"[CORL-645] Add Slack support for v5 (#2713)\n\n* Create preliminary schema for setting Slack channels\r\n\r\nCORL-645\r\n\r\n* Implement preliminary slack notification using tenant slack channels\r\n\r\nCORL-645\r\n\r\n* Very preliminarily get data loading with FieldArray's for slack channels\r\n\r\nCORL-645\r\n\r\n* Update settings input on schema to allow saving Slack settings to tenant\r\n\r\nCORL-645\r\n\r\n* Filter off UNMODERATED queue events from slack channels\r\n\r\nWe don't send these to slack through our filters, we only care\r\nabout pending, reported, and featured\r\n\r\nCORL-645\r\n\r\n* Include a moderation link in comments pushed to Slack\r\n\r\nCORL-645\r\n\r\n* Hook up proper callback functions for adding/removing slack channels\r\n\r\nCORL-645\r\n\r\n* Add missing translation for Slack navigation item\r\n\r\nCORL-645\r\n\r\n* Update snapshots for preliminary Slack configuration changes\r\n\r\nCORL-645\r\n\r\n* Add some FormField wrappers around slack config elements\r\n\r\nMakes the UI appear a little nicer\r\n\r\nCORL-645\r\n\r\n* Set up slack config to only provide one slack channel\r\n\r\nWe need to do this until we can get ArrayField's working\r\nin final-form.\r\n\r\nCORL-645\r\n\r\n* Disable the other trigger checkboxes when ""All Comments"""" is checked\r\n\r\nCORL-645\r\n\r\n* Clean up the formatting of Slack messages\r\n\r\nCORL-645\r\n\r\n* Add error handling around sending comments to Slack\r\n\r\nCORL-645\r\n\r\n* Add links to external Slack setup documentation\r\n\r\nCORL-645\r\n\r\n* Replace form state with wrapped field element\r\n\r\nCORL-645\r\n\r\n* Clean up fetch request sending Slack notifications\r\n\r\nCORL-645\r\n\r\n* Prefer global string replacement over RegEx\r\n\r\nCORL-645\r\n\r\n* Use URL class to construct comment URL's\r\n\r\nCORL-645\r\n\r\n* Require slack configuration in schema\r\n\r\nCORL-645\r\n\r\n* Initialize Slack in fixtures\r\n\r\nAlso fix up a flaky test that wasn't waiting\r\non form submission and on-change events.\r\n\r\nCORL-645\r\n\r\n* Preliminarily fix up styles to match other config pages\r\n\r\nCORL-645\r\n\r\n* Create placeholder add/remove buttons\r\n\r\n* Convert SlackConfigContainer to FunctionalComponent\r\n\r\nCORL-645\r\n\r\n* Add name field to slack channels\r\n\r\nCORL-645\r\n\r\n* Disable inner fields on Slack channel when not enabled\r\n\r\nCORL-645\r\n\r\n* Improve the delete channel button\r\n\r\nCORL-645\r\n\r\n* Use pureMerge to extract slack channel settings\r\n\r\nCORL-645\r\n\r\n* Do a bit of cleanup on the add channel button\r\n\r\nCORL-645""",https://github.com/coralproject/talk/commit/54296fa48417d838beb4971fc4aaee161488113c,text input propery check not waiting properly,Incorrect Resource Load Order,https://github.com/coralproject/talk/blob/54296fa48417d838beb4971fc4aaee161488113c/src/core/client/admin/test/configure/general.spec.tsx,CircleCI,Unspecified,Added await statements,Fix Await Mechanism,https://github.com/coralproject/talk/pull/2713,,,,,,,,
